jobid,operatingcentercity,operatingcenterstate,mid,crid,permitnumber,,,mailingdate,Mail class,Job number,Delivery point,mailing center,pbps process date,pbps process time,usps facility,operation,calendar days,stop the clock
0PMA6091,Charlotte,NC,1800007503,10886931,1774,1841,27020146689237100000000000000,4/3/2015,First,0PMA6091,64468111123,Phoenix AZ,4/6/2015,11:09:19 AM,Phoenix AZ,"DBCS/DIOSS BCS DPS, 1ST PASS",3,1
0PMA6092,Cedar Rapids,IA,1802117567,11832990,3395,3462,27020146689237100000000000000,3/29/2015,First,0PMA6092,66085919320,Brisbane CA,4/6/2015,1:46:25 PM,Brisbane CA,"DBCS/DIOSS BCS DPS, 3rd PASS",8,1
0PMA6093,Ashland,VA,400473,17133408,1010,1077,27020146377560100000000000000,3/16/2015,Standard,0PMA6093,63116490313,Kansas City MO,3/24/2015,4:39:56 PM,Corona CA,"DBCS/DIOSS BCS DPS, 4th PASS",8,1
0PMA6094,Romulus,MI,1802170563,9594225,2010,2077,27020146377560000000000000000,3/25/2015,First,0PMA6094,40272503016,Jacksonville FL,3/30/2015,1:49:26 PM,Rancho Dominguez CA,"DBCS/DIOSS BCS DPS, 2nd PASS",5,1
0PMA6095,Pine Brook,NJ,1800007181,17184186,301,368,27020146377560200000000000000,4/7/2015,Standard,0PMA6095,41042303344,Romulus MI,4/13/2015,4:08:59 PM,Denver CO,"DBCS/DIOSS BCS DPS, 1ST PASS",6,1
0PMA6096,San Diego,CA,1999995481,7212636,1010,1077,27020146377560100000000000000,3/7/2015,First,0PMA6096,54456133305,Fridley MN,3/10/2015,9:38:53 AM,Hartford CT,"DBCS/DIOSS BCS DPS, 1ST PASS",3,1
0PMA6097,Lincoln,NE,1802626637,38113497,4125,4192,27020146377560000000000000000,3/26/2015,Standard,0PMA6097,72396757006,Jacksonville FL,4/3/2015,2:33:56 PM,Jacksonville FL,"DBCS/DIOSS BCS DPS, 3rd PASS",8,1
0PMA6098,Brisbane,CA,1800006827,11858424,3395,3462,27020146377560000000000000000,4/4/2015,First,0PMA6098,24064151128,Kansas City MO,4/10/2015,2:38:50 PM,Atlanta GA,"DBCS/DIOSS BCS DPS, 1ST PASS",6,1
0PMA6099,Grove City,OH,1818267003,12929859,3101,3168,27020146377560000000000000000,3/28/2015,Standard,0PMA6099,44312362240,Jacksonville FL,4/6/2015,1:17:02 PM,Cedar Rapids IA,"DBCS/DIOSS BCS DPS, 3rd PASS",9,1
0PMA6100,Charlotte,NC,1802020743,18058923,858,925,27020146377560200000000000000,3/13/2015,First,0PMA6100,33167153380,Romulus MI,3/14/2015,11:41:51 AM,Indianapolis IN,"DBCS/DIOSS BCS DPS, 4th PASS",1,1
0PMA6101,Denver,CO,1802167155,19306242,858,925,27020146377560100000000000000,4/1/2015,Standard,0PMA6101,76302291022,Fridley MN,4/8/2015,9:49:49 AM,Baltimore MD,"DBCS/DIOSS BCS DPS, 3rd PASS",7,1
0PMA6102,Fridley,MN,1800007509,17203542,1055,1122,27020146377560100000000000000,3/21/2015,First,0PMA6102,91607198500,Kansas City MO,3/25/2015,12:56:18 PM,Romulus MI,"DBCS/DIOSS BCS DPS, 3rd PASS",4,1
